source,target
"| -
|	Drinking Plat Stip |||||||	Literally Chickeropia
| -
 |	China Use Rear Lee ||||	China boasts","|-
|	ផឹកទឹកបោយត្រលោក||||	មារយាទទាបថោករិកសៀធី
|-
 |	ចិនប្រើសែងរែកលី||||	ស៊ីញយៗចិនមើលងាយ"
"| -
|	China Ratinnic Tiracles ||||| Recall Be In Spirit
| -
 |	Many Khmer Dress Up ||||	Melts the unfortunate","|-
|	ជាតិចិនកំណាញ់ស្វិត	||||នឹកក្នុងចិត្តមិននិយាយ
|-
 |	មារយាទខ្មែរច្រើនរាយមាយ||||	រលាយទ្រព្យអភ័ព្វខ្លួន"
"| -
|	Silver recover satisfactory |||||||||| low to baby wife
| -
 |	Avattes to Brothers || Drive to Tardon Khmer Site","|-
|	ស៊ីឆ្ងាញ់ឆ្អែតស្កប់ស្កល់	||||ទាបថោកដល់ប្រពន្ធកូន
|-
 |	អាប់យសទាំងបងប្អូន	||||ដល់តាដូនពូជពង្សខ្មែរ"
"| -
|	Chinese nationals |||||||| get some
| -
 |	Susten Satisfying || Drive Water Never","|-
|	ជាតិចិនសុទ្ធសឹងស	||||មានទ័លក្រខ្សត់ខ្លះដែរ
|-
 |	ស៊ីផឹកស្និទ្ធតាមសែ	||||តមបាយខ្មែរមិនស៊ីសោះ"
"| -
|	There are houses with crops |||| doubled in a landing land
| -
 |	Pala Potato, Pino, Pinear, Pineapple ||||||	CC not running for sale","|-
|	មានផ្ទះមានដំណាំ	||||កាប់ដីដាំដោយកៀនកោះ
|-
 |	ដំឡូងត្រាវចេកម្នាស់||||	ស៊ីមិនអស់ទុកលក់ដូរ"
"| -
|	Many Cambodians lazy to drunk ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| Drink Rich
| -
 |	Lack of money sitting on |||||||| Drain the barn rice","|-
|	ខ្មែរច្រើនខ្ជិលប្រមឹក	||||កែងកោងរិកអួតអម្បូរ
|-
 |	ខ្វះលុយអង្គុយថ្ងូរ	||||កើបបង្ហូរស្រូវជង្រុក"
"| -
|	កូនអើយរឿងដំណាំ	||||គួរតែដាំឲ្យគ្រប់មុខ
| -
 |	Land crawled, parents ||||	Never be left free","|-
|	កូនអើយរឿងដំណាំ	||||គួរតែដាំឲ្យគ្រប់មុខ
|-
 |	ដីកេរម្តាយឪពុក||||	មិនត្រូវទុកចោលទំនេរ"
"| -
|	Garmenty government is expensive |||||	Charts to break down as gro
| -
 |	Do not measure the blanks |||||| Drive Taxes each year","|-
|	រាជការវាស់មានថ្លៃ||||	ផ្តិតមេដៃផ្តាច់ជាកេរ
|-
 |	មិនវាស់លេងទទេ	||||រេរិះយកពន្ធរាល់ឆ្នាំ"
"| -
|	Coconut Monkey, sugar canida, banana |||| don't be too lazy to sleep
| -
 |	Shosion of garlic, the drug |||||||","|-
|	ដូងស្វាយអំពៅចេក	||||កុំខ្ជិលពេកដេកប្រចាំ
|-
 |	ម្លូស្លាម្រេចខ្ទឹមថ្នាំ	||||ត្រូវតែដាំកុំឲ្យខ្វះ"
"| -
|	Syndrome Skirts ||||||	Good field soil plant cotton
| -
 |	Don't be lazy in old |||| men are never poor","|-
|	ទេសឯកសំពត់ស||||	ដីវាលល្អដាំកប្បាស
|-
 |	កុំខ្ជិលតាមចាស់ៗ	||||មនុស្សនឿយណាស់មិនដែលក្រ"
"| -
|	Vegeters planted everywhere ||||||||| go to the seeds of planting
| -
 |	Play good soil soils |||| Drain the Evening Evening Morning","|-
|	បន្លែដាំគ្រប់មុខ	||||យកគ្រាប់ទុកដាំបន្ត
|-
 |	ចាក់ដីជាតិល្អៗ	||||បង្ការស្លពេលល្ងាចព្រឹក"
"| -
|	Marction of garlic, garlic, pepper ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| spoils from watering from watering
| -
 |	Possiuts or leaves |||||||||||||||||||||||||| Drain","|-
|	ម្លូស្លាថ្នាំខ្ទឹមម្រេច	||||លូតលាស់លេចពីស្រោចទឹក
|-
 |	បានផលផ្លែរឺស្លឹក	||||កុំឆ្មើងរិកវាក្រខ្លួន"
"| -
|	The fisheries blank |||| Khmer Locals have shopped the Vietnamese
| -
 |	Salt Incension || Drive from Tadon Composed","|-
|	ត្រីងៀតផ្អកប្រហុក	||||ខ្មែរគ្រប់ស្រុកទិញដូរយួន
|-
 |	អំបិលធូបក្រមួន	||||ពីតាដូនតែងដូរទិញ"
"| -
|	Sweatened to Helps |||||| Dree to the monthly anniversary
| -
 |	Give Wrings Full |||||	Harsts do not buy less","|-
|	ដូរទុកដាក់ដំកល់	||||ស៊ីឲ្យដល់ខួបខែវិញ
|-
 |	ឲ្យបរិបូរពោរពេញ||||	ខាតចំណេញកុំទិញតិច"
"| -
|	Salt buy one end ||||||	Ports full of Aung West Pool
| -
 |	Don't buy a Hig ||| Block Black","|-
|	អំបិលទិញមួយចុង||||	ច្រកពេញអុងអាងខាងលិច
|-
 |	កុំទិញក្តោបខ្ចប់វេច	||||អស់រំពេចគេចទិញទៀត"
"| -
|	A salt, three rice ||| ""|| it's a towel
| -
 |	Irrive, Reference, Take ||||||| Draw not","|-
|	អំបិលមួយស្រូវបី||||វាល់នឹងល្អីទូលកណ្តៀត
|-
 |	ខ្លួនក្រត្រដរេឆ្លៀត	||||មារយាទយ៉ាងហ្នឹងកុំប្រព្រឹត្ត"
"| -
|	Boys and women ||||||||||||||||||||||||||||||||||||||||||	Should not be remarkable
| -
 |	Feed life ||||||","|-
|	កូនចៅទាំងប្រុសស្រី||||	គួរគប្បីប្រុងគំនិត
|-
 |	ចិញ្ចឹមជន្មជីវិត	||||គិតឲ្យវែងកុំគិតខ្លី"
"| -
|	Free vacancy |||||| tells the CHILD BUYY AND SUCHERS
| -
 |	Tin Bultini ||||||| is like","|-
|	ទំនេរល្ហែធ្វើការ	||||សូត្រធម៌អាថិទាំងប្រុសស្រី
|-
 |	ឲ្យត្រឹមត្រូវបាលី	||||ដូចស្រដីខាងដើមស្រាប់"
"| -
|	All women |||||| when listening to
| -
 |	You have to tell ||||||||| the ancestor","|-
|	រាល់រូបទាំងប្រុសស្រី	||||កាលចេះស្តីព្រោះចេះស្តាប់
|-
 |	ម៉ែឪតំរូវប្រាប់	||||កូនចៅត្រាប់តាមដូនតា"
"| -
|	Olderies, Economics |||||||	Does not violate Buddha Buddha
| -
 |	Hydrated hydraen |||||||| doesn't go away from the road","|-
|	ចាស់ម្យ៉ាងសាងសីលទាន||||	មិនបំពានខុសពុទ្ធដិកា
|-
 |	កូនកាត់តាមមេបា	||||មិនទៅណាឆ្ងាយពីផ្លូវ"
"| -
|	Old-Snowing Sangkuis ||||||| Demonstrate
| -
 |	Hybrids by family ||||	The burics scandals does themselves","|-
|	ចាស់ម្យ៉ាងសាងផលកម្ម	||||ស្អប់សីលប្រាំដូចសត្រូវ
|-
 |	កូនកាត់តាមម៉ែឪ||||	អាស្រូវភាសវិនាសខ្លួន"
"| -
|	Unbelievers ||||||||	Falling to the Links
| -
 |	Kid forces |||||| BeaghU","|-
|	មិនជឿមគ្គជឿផល||||	ធ្លាក់ទៅដល់អបាយបួន
|-
 |	កងកម្មចាំគំគួន	||||គេចវេះពួនមិនកំបាំង"
"| -
|	He was overwhelmed |||||||	Like for example as a location
| -
 |	As they have forces ||||||	The carts of chars","|-
|	ព្រះអង្គមានពុទ្ធដីកា||||	ប្រៀបឧមាជាទីតាំង
|-
 |	ដូចគេមានកំលាំង||||	សំរាំងទុកទឹមរទេះ"
"| -
|	Fighting Straight Way |||||||||| or will want to avoid
| -
 |	The wheels rotate ||||| Drive football","|-
|	នឹងបរផ្លូវវៀចត្រង់	||||រឺនឹងចង់បរគេចវេះ
|-
 |	កង់វិលមិនរបេះ	||||ជិះជើងគេមិនឃ្លាតឃ្លា"
"| -
|	Every small small ||||||	Enter the cave of the cave
| -
 |	Take the door battery |||||| Drain","|-
|	រាល់រូបទាំងតូចធំ||||	ចូលរូងភ្នំរូងគុហា
|-
 |	យកថ្មផ្ទាំងរាំងទ្វារ	||||កម្មវេរាតោងតាមបាន"
"| -
|	Five Illegal Fleet	Bold strategy by trace
| -
 |	The catcher hell |||||||| Drainboard Duot","|-
|	កងសីលមានអង្គប្រាំ||||	វេរាកម្មដិតដោយដាន
|-
 |	នរកប្រេតតិរច្ឆាន	||||ខានឃាត់ខាំងរាំងមគ្គផល"
"| -
|	It should be ostilty ||||||	Get the Navy to Road
| -
 |	Long a long time is ||||	Kosal helps to leave the boyfriend","|-
|	គួរខំសាងសីលទាន||||	យកនិពា្វនជាត្រើយថ្នល់
|-
 |	យូរឆាប់គង់តែដល់||||	កុសលជួយចាកសង្សារ"
"| -
|	Reverse Children think |||||| Favoral thoughts
| -
 |	Misleading |||||||	Escape verbs do not imitate","|-
|	កូនចៅរិះរេគិត	||||មើលគំនិតចិត្តដូនតា
|-
 |	ប្រព្រឹត្តខុសសាសនា||||	គេចកិរិយាកុំធ្វើត្រាប់"
"| -
|	View Another Old Correct |||||	What about the law
| -
 |	Older to hear |||||||||||","|-
|	មើលចាស់ណាត្រឹមត្រូវ||||	ចុះក្នុងផ្លូវកន្លងច្បាប់
|-
 |	ចាស់ស្តីគប្បីស្តាប់	||||ប្រិតព្រៀងប្រាប់ឲ្យប្រុងចាំ"
"| -
|	Respect all three ||||| Remove with the notes
| -
 |	Keep ethnic ethnic |||||||	No.","|-
|	គោរពគុណទាំងបី	||||សូត្របាលីតាមចំណាំ
|-
 |	រក្សាអង្គសីលប្រាំ||||	កម្មវេរាតាមមិនទាន់"
"| -
|	Religion is still a long time |||| previously has over two thousands
| -
 |	Today, recide receipt ||||||	Not over the previous","|-
|	សាសនានៅវែងឆ្ងាយ	||||កន្លងបា្លយជាងពីរពាន់
|-
 |	សព្វថ្ងៃលៃគ្នេគ្នាន់||||	មិនទាន់គ្រប់ជាងប្រាំរយ"
"| -
|	Now eight |||| in twenty a back
| -
 |	Children do not |||||	Have flooded in sweetheart","|-
|	ឥឡូវចិតប្រាំបី	||||នៅម្ភៃមួយខាងក្រោយ
|-
 |	កូនចៅកុំបណ្តោយ||||	ឲ្យលិចលង់ក្នុងសង្សារ"
"| -
|	Inquiry ||||||||	That the Middle of God
| -
 |	Prophecy Preah Raver ||||| Ber Rit","|-
|	មានពាក្យចាស់ដំណាល||||	ថាកណ្តាលព្រះសាសនា
|-
 |	ទំនាយក្បួនតំរា	||||ថានឹងរៀវហើយរីកវិញ"
"| -
|	Therefore all the children |||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Though the stupidity
| -
 |	Trying to memorize |||	Complete Buddhist words","|-
|	ហេតុនេះអស់កូនចៅ||||	ទោះល្ងង់ខ្លៅយ៉ាងណាមិញ
|-
 |	ខំអុស្សាហ៏ទន្ទេញ||||	បំពេញពាក្យពុទ្ធទំនាយ"
"| -
|	Links from today ||||||	Learn the knowledge, don't regret
| -
 |	Non-child Never Save ||||	Does not muttered","|-
|	តំណពីថ្ងៃនេះ||||	រៀនតំរិះកុំរាយមាយ
|-
 |	កូនណាមិនស្វាធ្យាយ||||	មិនរលាយរលត់ទុក្ខ"
"| -
|	To adequate religion ||||||	Meet five thousand to the front
| -
 |	Prophecy Drags |||||||	That parents hate their children","|-
|	ដល់សាសនាគ្រប់គ្រាន់||||	ជួបប្រាំពាន់ទៅខាងមុខ
|-
 |	ទំនាយរាយទំនុក||||	ថាឪពុកម្តាយស្អប់កូន"
"| -
|	That's COVER ||| kills each other
| -
 |	Don't know it's known ||||| Zerosgism doesn't have the rest","|-
|	ថាកើតអន្តរកប្ប	||||គុំសម្លាប់គ្នាបងប្អូន
|-
 |	មិនដឹងតាដឹងដូន	||||សូន្យសីលទានមិនមានសល់"
"| -
|	Should Think Do Not Survey ||| Bath Modes
| -
 |	Keep trying to the Success |||||||| will be","|-
|	គួរគិតកុំសាងកម្ម	||||កាន់សីលប្រាំចាំដំកល់
|-
 |	ខំសាងមគ្គសាងផល	||||នឹងបានដល់ឋានសាន្តសុខ"
"| -
|	Will survive ||||	Did not fall to hell
| -
 |	Omrabbae of Advertise ||||||	Sorry daily","|-
|	នឹងរួចពីកាប់ចាក់||||	មិនបានធ្លាក់ទៅនរក
|-
 |	ព្រះសិរអារ្យត្រាស់ខាងមុខ||||	រាសាយទុក្ខសោករាល់ថ្ងៃ"
"| -
|	This calls the Cudicial |||| Behold
| -
 |	Danamin All Four ||||||	Tuzin the end to the end of","|-
|	នេះហៅច្បាប់បណ្តាំ 	||||ថាពាក្យប្រាំៗមួយផ្ទូន
|-
 |	បទព្រហ្មគ្រប់ឃ្លាបួន||||	ជួនចែងចប់ម្ល៉េះហើយហោង"
"Suvarnabhumi Lyrics, by the Rehmbal

Khmer poetry


Earth","ទំនុកច្រៀង ដែនដីសុវណ្ណភូមិ ដោយសម្តេចសង្ឃរាជ ជួនណាត

កំណាព្យខ្មែរ


ផែនដី"
Temple of Phnom Penh is in Stung Treng province locates in the mountains in the provincial town,​ប្រាសាទភ្នំ​ធាតុ​ស្ថិតក្នុងខេត្តស្ទឹងត្រែង តាំង​នៅលើ​ភ្នំ​ធាតុ ក្នុង​ទី​រួម​ខេត្ត​ផ្ទាល់​តែម្តង
The temple was built during the sixth weekdeth,ប្រាសាទ​នេះ​ត្រូវ​បាន​កសាងក្នុងអំឡុង ស​តវត្សទី​៦
"Meanwhile, we have seen a pulpeak for a pour of the castle from a temple that is in front of the temple",ទន្ទឹមនឹងនេះ យើង​ក៏បាន​ឃើញ​មាន សោម​សូត្រ សម្រាប់​បង្ហូរ​ទឹកមន្ត​ចេញពី​ប្រាសាទ​មួយ​ដែរ ដែល​ស្ថិតនៅ​ខឿន​មុខ​ប្រាសាទ
"Thus, the stone, a sauce, or the silk is long and the hole in the middle and at the end of the head",ដូច្នេះហើយ ថ្ម​បង្ហូរ​ទឹកមន្ត ឬ​សោម​សូត្រ​នេះ មាន​រាង​វែង​ហើយ​ប្រហោង​នៅ​កណ្តាល ហើយ​នៅ​ខាងចុង​លំអ​ដោយ​រូប​ក្បាល​ម្ករ
"Also, if we look at the foundation of the mountainous temple, we find that the temple is very large",​ ម្យ៉ាងវិញទៀត ប្រសិនបើ​យើង​មើល​គ្រឹះ​នៃ​ប្រាសាទភ្នំ​ធាតុ យើង​ឃើញថា ប្រាសាទ​នេះ​មាន​ទំហំ​ធំ​ណាស់ គួរ​ឲ្យ​ស្ងប់​ស្ងែ​ង
Temple of Stung Treng Province,ប្រាសាទនៃខេត្តស្ទឹងត្រែង
"Perfecture Srey Temple has a luxury sketchy, evening to rogether or all right away",​ ប្រាសាទ​ស្រី​គ្រប់លក្ខណ៍ មាន​ក្បាច់រចនា​យ៉ាង​ល្អ​ប្រណិត ថ្វីត្បិតតែ​ត្រូវ​របេះ​ជ្រុះ ឬ​រលុប​សឹង​ទាំងអស់​ក៏ដោយ
At each doorframe contains the Palace of the two small airsteries on both sides,នៅតាម​ស៊ុមទ្វារ​នីមួយៗ មាន​ក្បាច់​វិមានអាកាស​តូចៗ​ពីរ​ទាំងសងខាង
The age of the temple is determined by an inscription of the tab of the date at 667,អាយុកាល​របស់​ប្រាសាទ​ត្រូវបាន​កំណត់ ដោយ​សិលាចារឹក​មួយ​ផ្ទាំង​ដែលមាន​ចុះ​កាលបរិច្ឆេទ ត្រូវ​នឹង​ឆ្នាំ ៦៦៧ នៃ​គ​.​ស
"On the other hand, the temple analysis said the temple was in the transition between the jungle, kids and Kampong Kompong",ម្យ៉ាងវិញទៀត តាម​ការវិភាគ​ក្បាច់​ផ្តែរ​បាន​ឲ្យ​ដឹងថា ប្រាសាទ​នេះ​ស្ថិតក្នុង​អន្តរកាល​រវាង រចនាបថ​ព្រៃ​ក្មេង និង​កំពង់ព្រះ
The temple is the Angkor architecture structure in Koh Koh,ប្រាសាទ​ថ្ម​នោះ​ជា​សំណង់​ស្ថាបត្យកម្ម​សម័យអង្គរ ស្ថិតក្នុង​រចនាបថ​កោះ​កេរ
"Temple History 
 The temple is in the floor in the Pope, Roukang Village, Santak District, Kampong Thom Province","ប្រវត្តិប្រាសាទ 
 ប្រាសាទនេះធ្វើអំពីឥដ្ឋ ស្ថិតក្នុងវត្តភូមិរាំង ឃុំតាំងក្រសាំង ស្រុកសន្ទុក ខេត្តកំពង់ធំ"
If analyze the formation of Rang Village is in Kompong Thais style or forest in the end of Chenla Culture,បើវិភាគលើទ្រង់ទ្រាយ ប្រាសាទភូមិរាំងស្ថិតក្នុងរចនាបថកំពង់ព្រះ ឬព្រៃក្មេង នៅចុងសម័យវប្បធម៌ចេនឡា
Our temple looks at this is a Brahmin monumentism for dedicated to the Germany,ប្រាសាទរបស់យើងមើលនេះគឺជាបូជនីយដ្ឋានបែបព្រាហ្មណ៍និយម សំរាប់ឧទ្ទិសដល់ព្រះសិវៈ
"The Khmer people living there, there was a power of the temple to have a great power, and it was not stopped",ប្រជានុរាស្ត្រខ្មែរ រស់នៅទីនោះបានចាត់ទុកថា ប្រាសាទនេះមានបារមីពូកែស័ក្ដិសិទ្ធិណាស់ ហើយរមែងតែងតែមកបន់ស្រន់មិនឈប់ឈរ
"Thus, the temple is the place where it comes to the most abundant of worship",ដូច្នេះហើយប្រាសាទនេះ គឺជាទីដែលទទួលបានកាគោរពសក្ការៈជាទីបំផុត
The other three doors are the gate,រីឯទ្វារ ៣ ទៀតគឺជាទ្វារបញ្ឆោត
"Reference 
Kampong Thom Province
Raok Village","ឯកសារយោង 
ខេត្តកំពង់ធំ
ភូមិរាំង"
"According to the opinion of the seminal door, we saw two diamonds similar to the two pillars of the bottom of the temple",នៅ​អម​តាម​សងខាង​នៃ​ទ្វារ​មណ្ឌប យើង​ឃើញ​មាន​សសរ​ពេជ្រ​ពីរ ប្រហាក់ប្រហែល​នឹង​សសរ​ពេជ្រ​ពីរ​នៃ​ទ្វារ​ខាងក្រោម​នៃ​ប្រាសាទ
"​

Architecture 
 The door: The entrance door is only one on the door frame, and we do not find carving in anything","​

ស្ថាបត្យកម្ម​ 
 ទ្វារ​៖ទ្វារ​ចូល​មានតែ​មួយ ហើយ​នៅ​លើ​ស៊ុមទ្វារ​យើង​មិនឃើញ​មាន ការ​ឆ្លាក់​ជា​ក្បាច់ក្បូរ​អ្វី​ទេ"
Another feature is that the door is small enough in the size of the temple,លក្ខណៈ​មួយ​ទៀត​គឺ​ទ្វារ​នេះ មាន​លក្ខណៈ​តូច​ល្មម​សមស្រប​តាម​ទំហំ​នៃ​ប្រាសាទ
"Thus, the pillars of the pillar is an improvement of temples and securing the safety of the construction",ដូចនេះ មុខងារ​របស់​សសរ​ផ្អោប​គឺ ការ​លំអ​ប្រាសាទ​ផង និង​ធានា​សុវត្ថិភាព របស់​សំណង់​ផង
"​
 Houses over: Hondular formatted in alphana or like a nail and is at the end","​
 ហោ​ជាង​៖ ​ហោជាង​មាន​ទ្រង់ទ្រាយ​ជា​អក្សរ​អ៊ុយ​បញ្ច្រាស ឬ​ដូច​ក្រចកសេះ ហើយ​រីក​នៅ​ខាងចុង"
"We can assume that it is the primary basis of the latest contemplation in the future, even more common",យើង​អាច​សន្មត់​ថា វា​ជា​គម្រូ​នៃ​ហោជាង​នា​សម័យ​ក្រោយៗ ថ្វីត្បិតតែ​មាន​លក្ខណៈសាមញ្ញ​ជាង​ក៏​ដោយ
The windows are in the floating temples and are interesting in the interest,បង្អួច​ទាំងនោះ​មាន​លក្ខណៈ​ជា​ប្រាសាទ​អណ្តែត ហើយ​ស៊ីមេទ្រី​គ្នា​គួរឲ្យ​ចាប់អារម្មណ៍​ជា​អនេក
"Those diamonds, which is the pile of tasseles are like a pillars of the gate, but small characteristics",ក្បាច់​សសរ​ពេជ្រ​ទាំងនោះ ដែល​ជា​ក្បាច់​ផ្កា​រំយោល មាន​លក្ខណៈ​ដូច​ក្បាច់​សសរ​នៃ​ក្លោងទ្វារ តែ​លក្ខណៈ​តូច
No description of those small temples and tablets,ហោជាង​និង​ផ្ទាំង​ផ្តែរ​នៃ​ប្រាសាទតូចៗ​ទាំងនោះ គ្មាន​ក្បាច់ក្បូរ​ឡើយ
"​

Overall, the temple of the Great Santon is the oldest Cambodian architecture in Khmer today","​

​ជារួម ប្រាសាទ​អាស្រម​មហា​ឥសី គឺជា​សំណង់​ស្ថាបត្យកម្ម​ខ្មែរ ដែល​មាន​ចំណាស់ ចាស់​ជាងគេ​បំផុត ក្នុង​ទឹកដី​ខ្មែរ​សព្វថ្ងៃនេះ"
"Because in India, they have never encountered any temple that is completely similar to our temples",ព្រោះថា នៅ​ប្រទេស​ឥណ្ឌា គេ​ពុំ​ដែល​ជួបប្រទះ​ប្រាសាទ​ណាមួយ ដែល​មាន​លក្ខណៈ​ដូច​គ្នា​ទាំងស្រុង នឹង​សំណង់​ប្រាសាទ​របស់​យើង​នោះទេ
"Document
 File: Document: Temple of Muslims of Muslims .pdf

Takeo Province
Molariosiscard","ឯកសារ
 ​:ឯកសារ:ប្រាសាទអាស្រមមហាឥសី.pdf

ខេត្តតាកែវ
អាស្រមមហាឥសី"
"Great High Priority
Human Hyper Pay Ray Hyper Boosts","តំ អរហាទិគុណសំយុត្តំ ពុទ្ធំ
សិរសា នមាមិ តញ្ច ពុទ្ធំ ឥមេហិ សក្ការេហិ អភិបូជយាមិ"
"Surge
Urgonian Lion Documentary, while the kings of the kings of the kingship of the Technology Technology Technology Technology","រំឭកធម្មគុណ
ស្វាក្ខាតោ ភគវតា ធម្មោ សន្ទិដ្ឋិកោ អកាលិកោឯហិបស្សិកោ ឱបនយិកោ បច្ចត្តំ វេទិតព្វោ វិញ្ញូហីតិ"
Avalidation of the Ideas of the Importance of Ham Finish Hyper Hyper Hyper,តំ ស្វាក្ខាតា ទិគុណសំយុត្តំ ធម្មំ សិរសា នមាមិ តញ្ច ធម្មំ ឥមេហិ សក្ការេហិ អភិបូជយាមិ
Qualificating the High High High High High High Head of Hungaria High School High,តំ សុបដិបន្នា ទិគុណសំយុត្តំ សង្ឃំ សិរសា នមាមិ តញ្ច សង្ឃំ ឥមេហិ សក្ការេហិ អភិបូជយាមិ
The animal is used as a pullforce force and for taking meat,សត្វ​នេះ​ត្រូវ​បាន​គេ​ប្រើ​ជា​កម្លាំង​អូសទាញ​និង​សម្រាប់​យក​សាច់
"Balinese bull was also taken to northern Australia, where it lives in the field",គោបាលី​ក៏​ត្រូវ​បាន​គេ​នាំ​យក​ទៅ​ភាគ​ខាង​ជើង​ប្រទេស​អូស្រ្តាលី​ផង​ដែរ ដែល​នៅ​ទីនោះ​​វា​រស់​នៅ​តាម​វាល​
We can observe their gender through the color and size,យើង​អាច​សង្កេត​ដឹង​ភេទរបស់​វា  តាម​រយៈ​ពណ៌​សម្បុរ​និង​ទំហំ
Both the male both have white circles in the foot and have a different point on the eyes,ទាំង​ញី​ទាំង​ឈ្មោល​មាន​រង្វង់​​ពណ៌​​ស​​នៅ​​ជើង​ ហើយ​​មាន​​ចំនុច​សៗ​នៅ​​លើ​​ភ្នែក
"It has a similar amount of cattle, but there are small necks and heads and are almost a small and almost bound on the back",វា​មាន​មាឌ​ប្រហាក់​ប្រែល​នឹង​គោ​ស្រុក​ តែ​មានក​និង​ក្បាល​តូចជាង​ និង​មានបួក​ស្ទើរ​រាប​ស្មើ​នៅ​លើ​ខ្នង
"Character

Living in the forests with grass grows, fruits, leaves and borrowed branches for food","អត្តចរិត

បានតេង​រស់​នៅ​ក្នុង​ព្រៃ​របោះ​ដែល​មាន​ស្មៅ​ ទំពាំង​ ផ្លែ​ឈើ​ ស្លឹក​ឈើ​ និង​មែក​ឈើ​ខ្ចីៗ​សម្រាប់​ទុក​ជា​អាហារ"
"Tilted animal, nights, nights, nights, but in the place of rich people it like the darkness",បាន​តេង​ជា​សត្វ​ដែល​មាន​សកម្ម​ភាព​ទាំង​យប់​ទាំង​ថ្ងៃ ប៉ុន្តែ​នៅ​កន្លែង​ដែល​សម្បូរ​មនុស្ស​វា​ចូលចិត្ត​ភាព​ងងឹតវិញ
Usually lived a crowd of 20 to 30,ជាទូទៅ​ បានតេង​រស់​នៅ​ជា​ហ្វូង​ពី​២០​ ទៅ​៣០​ក្បាល
He was born a birthday after the pregnancy for 285 days,បានតេង​ញី​កើត​កូន​ម្តង​បានមួយ​ក្បាល​ ក្រោយ​ពីពរ​ពោះ​អស់​រយៈ​ពេល​២៨៥​ថ្ងៃ
Self-breaking lasts six to 9 months and has been reproduction can be spread from the age of two to three years,ការ​បំបោះ​ដោះ​មាន​រយៈ​ពេល​ពី​៦ ទៅ​៩ខែ ហើយ​បានតេង​អាច​បន្ត​ពូជ​បាន​ចាប់​ពី​អាយុ​២ ទៅ​៣​ឆ្នាំ​
It is also stated that the forest may survive until the 20-year-old bound of the age,គេ​បាន​កត់​ទុក​ថា​ បានតេង​​ព្រៃ​អាច​រស់​បាន​ដល់​អាយុ​២០​ឆ្នាំ​ ឯ​បានតេង​ដែល​គេចាប់ទុក អាច​មាន​អាយុ​ដល់​២៦​ឆ្នាំ
Two cows kept the egg to the date of the evaluation,គោ​២​ក្បាល​បាន​រក្សា​ស៊ុត​នេះ​ដល់​ថ្ងៃ​កើត​​ក្រោម​ការ​វះ​កាត់​
"The first child was born on 0 April 2003, the second two days later",កូន​ទី១​​បាន​​កើត​នៅ​ ថ្ងៃ​០១មេសា​២០០៣ ឯ​ទី​២​នៅ​​ពីរ​ថ្ងៃ​ក្រោយ​មក
The decreased among the six brothers of the ban on the ban on the injects to the departure,អនុរាធៈ ក្នុង ចំណោមបងប្អូនទាំង៦របស់ព្រះនាងភទ្ទាកច្ចាយនា បានជ្រើសយកអនុរាធគ្រាម ជាទីតាំងរបស់ខ្លួន
And from that then they always diodal and control,ហើយចាប់ពីនោះ មកពួកទមិឡ តែងតែអុកឡុក និងគ្រប់គ្រងជាហូរហែ
King Tunar District is the Kingdom of the Sumbra,ព្រះបាទទុដ្ឋគាមិនីអភ័យគឺជាព្រះរាជមហា-វីរៈក្សត្រនៃអនុរាធបុរៈសម័យ
"Bornest of southern part of the country, he wanted to save the country from the tissue and to become Buddhist",ប្រសូតនៅភាគ ខាងត្បូងនៃប្រទេស ព្រះអង្គមានព្រះរាជបំណងចង់ សង្គ្រោះប្រទេសពីពួកទមិឡ និងចង់ក្លាយព្រះអង្គ ជាពុទ្ធសាសនូបត្ថម្ភ
"In Kingdom of King Valagamba, the title of the title has beaten the kingdom and again governed the deputy",ក្នុងរាជ្យព្រះបាទ វដ្តគាមិនី អភ័យ (Valagamba) អាណានិគមទមិឡបានផ្តួល រាជ្យ ហើយគ្រប់គ្រងអនុរាធបុរៈជាថ្មីម្តងទៀត
2 - Recording the Bible and the history of the world in the church (Aluvihara),២-ការកត់ត្រាទុកនូវគម្ពីរព្រះអដ្ឋកថានិង ប្រវត្តិសាស្ត្រប្រទេសនៅអាលុវិហារ(Aluvihara)
Toth Relic brought to this country in the kingdom of Kingdom: (Kitsiri Mevan) 321-328 A.D. (CE),ព្រះទាឋធាតុ(Tooth Relic)បាននាំមកកាន់ប្រទេស នេះ នៅក្នុងរាជ្យរបស់ព្រះបាទកិត្តិសិរីមេវនៈ(Kitsiri mevan) ៣២១-៣២៨ A.D.(គ.ស.)
In the ninth century and 10th centuries A.D. Donated the weakness of the Kingdom of Soon,នៅសតវត្សរិ៍ទី៩ និងទី១០ A.D.បានបង្ហាញ ឱ្យឃើញភាពចុះខ្សោយនៃរាជាណាចក្រអនុរាធបុរៈ
